state,zipcode,total_pop,total_income,country,avg_income
NY,13132,1910,109083,USA,57111.51832460733
NY,13135,3050,179631,USA,58895.40983606558
NY,13136,200,8775,USA,43875
NY,13140,1930,93726,USA,48562.69430051814
NY,13141,330,16038,USA,48600
NY,13142,2830,159407,USA,56327.56183745583
NY,13143,1160,58490,USA,50422.41379310345
NY,13144,530,23308,USA,43977.35849056604
NY,13145,840,44587,USA,53079.76190476191
NY,13146,890,44072,USA,49519.10112359551
NY,13147,490,25970,USA,53000
NY,13148,5020,274536,USA,54688.44621513944
NY,13152,4120,615691,USA,149439.56310679612
NY,13155,270,13300,USA,49259.259259259255
NY,13156,860,49543,USA,57608.13953488372
NY,13158,620,30227,USA,48753.22580645161
NY,13159,2590,198215,USA,76530.88803088803
NY,13160,960,58876,USA,61329.166666666664
NY,13164,1260,98619,USA,78269.04761904762
NY,13165,5070,241799,USA,47692.110453648915
NY,13166,2600,143880,USA,55338.46153846154
NY,13167,1610,94192,USA,58504.34782608696
NY,13202,2160,105772,USA,48968.51851851852
NY,13203,6400,266474,USA,41636.5625
NY,13204,7920,275459,USA,34780.17676767677
NY,13205,7070,240847,USA,34066.05374823196
NY,13206,8320,351082,USA,42197.355769230766
NY,13207,6010,269934,USA,44914.14309484193
NY,13208,9390,309937,USA,33007.13525026624
NY,13209,6840,356251,USA,52083.47953216374
NY,13210,6310,291432,USA,46185.736925515055
NY,13211,3240,125204,USA,38643.20987654321
NY,13212,10720,568011,USA,52986.100746268654
NY,13214,3780,272622,USA,72122.22222222222
NY,13215,7230,649940,USA,89894.88243430151
NY,13219,8320,517398,USA,62187.25961538462
NY,13224,4140,338956,USA,81873.42995169082
NY,13302,670,28810,USA,43000
NY,13303,550,32908,USA,59832.72727272727
NY,13304,920,79864,USA,86808.69565217392
NY,13308,1530,77125,USA,50408.49673202614
NY,13309,2650,139790,USA,52750.943396226416
NY,13310,300,14619,USA,48730
NY,13314,190,8778,USA,46200
NY,13315,610,31280,USA,51278.688524590165
NY,13316,2850,144799,USA,50806.666666666664
NY,13317,1670,85448,USA,51166.467065868266
NY,13318,610,34624,USA,56760.65573770492
NY,13319,430,19385,USA,45081.395348837206
NY,13320,930,48170,USA,51795.69892473118
NY,13322,550,32563,USA,59205.454545454544
NY,13323,4900,384412,USA,78451.42857142857
NY,13324,910,46692,USA,51309.89010989011
NY,13325,420,19727,USA,46969.04761904762
NY,13326,2540,219025,USA,86230.31496062993
NY,13327,960,48243,USA,50253.125
NY,13328,530,34076,USA,64294.339622641506
NY,13329,1580,73823,USA,46723.417721518985
NY,13331,130,8457,USA,65053.846153846156
NY,13332,1090,54872,USA,50341.28440366973
NY,13334,570,28557,USA,50100
NY,13335,730,39982,USA,54769.86301369863
NY,13337,410,33551,USA,81831.70731707317
NY,13338,620,30008,USA,48400
NY,13339,2570,116014,USA,45141.634241245134
